,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day_of_week,day_of_month,month_of_year,quarter_of_year,year
99,1986-08-04 00:00:00-04:00,0.060590721666812904,0.060590721666812904,0.0589822166726516,0.0605907216668129,12441600,0.0,0.0,0,4,8,3,1986
100,1986-08-05 00:00:00-04:00,0.06059070133504563,0.06112686948651657,0.06005453318357468,0.060054533183574677,2822400,0.0,0.0,1,5,8,3,1986
101,1986-08-06 00:00:00-04:00,0.06005453522174603,0.060590703391413814,0.05844603071274269,0.05951836705207825,18316800,0.0,0.0,2,6,8,3,1986
102,1986-08-07 00:00:00-04:00,0.05951836534962282,0.06005453350395412,0.058446029040960225,0.05898219719529152,3657600,0.0,0.0,3,7,8,3,1986
103,1986-08-08 00:00:00-04:00,0.05898219888241047,0.060590703391413814,0.05898219888241047,0.05951836705207825,4147200,0.0,0.0,4,8,8,3,1986
104,1986-08-11 00:00:00-04:00,0.060590713683038366,0.062199218465253996,0.060590713683038366,0.06166305020451546,7948800,0.0,0.0,0,11,8,3,1986
105,1986-08-12 00:00:00-04:00,0.0616630492616106,0.06327217072248459,0.0616630492616106,0.06327217072248459,9993600,0.0,0.0,1,12,8,3,1986
106,1986-08-13 00:00:00-04:00,0.06327216861926384,0.06380833685398102,0.06273600038454667,0.06380833685398102,6883200,0.0,0.0,2,13,8,3,1986
107,1986-08-14 00:00:00-04:00,0.06380833796684587,0.06595301094311926,0.06380833796684587,0.0654168426990509,20131200,0.0,0.0,3,14,8,3,1986
108,1986-08-15 00:00:00-04:00,0.06541686532593771,0.0659530337554601,0.06488069689641532,0.06568495184183121,6105600,0.0,0.0,4,15,8,3,1986
109,1986-08-18 00:00:00-04:00,0.06568494634685032,0.06595302823805238,0.06488069146871567,0.06488069146871567,12787200,0.0,0.0,0,18,8,3,1986
110,1986-08-19 00:00:00-04:00,0.06488069146871567,0.06514877796218196,0.06380835469937896,0.06488069146871567,20390400,0.0,0.0,1,19,8,3,1986
111,1986-08-20 00:00:00-04:00,0.06488067120266895,0.06488067120266895,0.06434450298547745,0.06434450298547745,20764800,0.0,0.0,2,20,8,3,1986
112,1986-08-21 00:00:00-04:00,0.06434450298547745,0.06541683941986047,0.06434450298547745,0.06434450298547745,49536000,0.0,0.0,3,21,8,3,1986
113,1986-08-22 00:00:00-04:00,0.06434450722756431,0.06488067548010418,0.062199217514150466,0.06327217072248459,5760000,0.0,0.0,4,22,8,3,1986
114,1986-08-25 00:00:00-04:00,0.06327217072248459,0.06327217072248459,0.062199217514150466,0.06327217072248459,2419200,0.0,0.0,0,25,8,3,1986
115,1986-08-26 00:00:00-04:00,0.06327217286165536,0.06327217286165536,0.06273600459098816,0.06273600459098816,10857600,0.0,0.0,1,26,8,3,1986
116,1986-08-27 00:00:00-04:00,0.06273600459098816,0.06327217286165536,0.06219921961704573,0.06273600459098816,9532800,0.0,0.0,2,27,8,3,1986
117,1986-08-28 00:00:00-04:00,0.06273600459098816,0.06327217286165536,0.06273600459098816,0.06273600459098816,3427200,0.0,0.0,3,28,8,3,1986
118,1986-08-29 00:00:00-04:00,0.06273601326126108,0.06327218160602806,0.060054554834065646,0.061126891523599625,25430400,0.0,0.0,4,29,8,3,1986
119,1986-09-02 00:00:00-04:00,0.0611268715610816,0.0611268715610816,0.058714112496445384,0.05951836705207825,5212800,0.0,0.0,1,2,9,3,1986
120,1986-09-03 00:00:00-04:00,0.058982212698694525,0.058982212698694525,0.0563013712223821,0.057909876108169556,18316800,0.0,0.0,2,3,9,3,1986
121,1986-09-04 00:00:00-04:00,0.05898220999304257,0.06273600459098816,0.05898220999304257,0.06273600459098816,39427200,0.0,0.0,3,4,9,3,1986
122,1986-09-05 00:00:00-04:00,0.06273600147870917,0.0654168426990509,0.06219921653139617,0.0654168426990509,26352000,0.0,0.0,4,5,9,3,1986
123,1986-09-08 00:00:00-04:00,0.06541685985338402,0.06595302823805238,0.06488069146871567,0.06488069146871567,9619200,0.0,0.0,0,8,9,3,1986
124,1986-09-09 00:00:00-04:00,0.0648806870356409,0.06756152877580995,0.0648806870356409,0.06595302373170853,37526400,0.0,0.0,1,9,9,3,1986
125,1986-09-10 00:00:00-04:00,0.06595302823805238,0.06648919662272074,0.06488069146871567,0.06488069146871567,10886400,0.0,0.0,2,10,9,3,1986
126,1986-09-11 00:00:00-04:00,0.0648806936806278,0.06541686208357521,0.06219923496246338,0.06219923496246338,35654400,0.0,0.0,3,11,9,3,1986
127,1986-09-12 00:00:00-04:00,0.0621992266609742,0.06273601169570639,0.060590721666812904,0.0605907216668129,24451200,0.0,0.0,4,12,9,3,1986
128,1986-09-15 00:00:00-04:00,0.060590713683038366,0.06166305020451546,0.05951837716156128,0.06166305020451546,22492800,0.0,0.0,0,15,9,3,1986
129,1986-09-16 00:00:00-04:00,0.06166305020451546,0.062199218465253996,0.060590713683038366,0.06166305020451546,5184000,0.0,0.0,1,16,9,3,1986
130,1986-09-17 00:00:00-04:00,0.0616630492616106,0.06434450722756431,0.06112688100907074,0.06327217072248459,8035200,0.0,0.0,2,17,9,3,1986
131,1986-09-18 00:00:00-04:00,0.06327216861926384,0.06488067332341536,0.06327216861926384,0.06380833685398102,5356800,0.0,0.0,3,18,9,3,1986
132,1986-09-19 00:00:00-04:00,0.06380833685398102,0.06434450508869818,0.06327216861926384,0.06380833685398102,2505600,0.0,0.0,4,19,9,3,1986
133,1986-09-22 00:00:00-04:00,0.06380833897502444,0.06380833897502444,0.06327217072248459,0.06327217072248459,4492800,0.0,0.0,0,22,9,3,1986
134,1986-09-23 00:00:00-04:00,0.06327216655109442,0.06488067120266895,0.06327216655109442,0.06434450298547745,5961600,0.0,0.0,1,23,9,3,1986
135,1986-09-24 00:00:00-04:00,0.06434450005091896,0.06434450005091896,0.06327216366544197,0.0635402500629425,4780800,0.0,0.0,2,24,9,3,1986
136,1986-09-25 00:00:00-04:00,0.06354027497439148,0.06380835687473299,0.06219923496246338,0.06219923496246338,5155200,0.0,0.0,3,25,9,3,1986
137,1986-09-26 00:00:00-04:00,0.06219923496246338,0.06273602006883817,0.06166306655951597,0.06219923496246338,2332800,0.0,0.0,4,26,9,3,1986
138,1986-09-29 00:00:00-04:00,0.0621992266609742,0.0621992266609742,0.060590721666812904,0.0605907216668129,6192000,0.0,0.0,0,29,9,3,1986
139,1986-09-30 00:00:00-04:00,0.060590721666812904,0.0616630583295871,0.060590721666812904,0.0605907216668129,5184000,0.0,0.0,1,30,9,3,1986
140,1986-10-01 00:00:00-04:00,0.06059070133504563,0.061663037637987514,0.05898219688063279,0.060054533183574677,32428800,0.0,0.0,2,1,10,4,1986
141,1986-10-02 00:00:00-04:00,0.06005453318357468,0.06112686948651657,0.05951836503210374,0.060054533183574677,22723200,0.0,0.0,3,2,10,4,1986
142,1986-10-03 00:00:00-04:00,0.0600545533354258,0.061126889998200006,0.0600545533354258,0.0605907216668129,14716800,0.0,0.0,4,3,10,4,1986
143,1986-10-06 00:00:00-04:00,0.06219921653139617,0.06648917918718761,0.06219921653139617,0.0654168426990509,85334400,0.0,0.0,0,6,10,4,1986
144,1986-10-07 00:00:00-04:00,0.06541684622021023,0.06809768758485225,0.06541684622021023,0.06675726920366287,59788800,0.0,0.0,1,7,10,4,1986
145,1986-10-08 00:00:00-04:00,0.06675726052836023,0.06943809694235639,0.06595300592235125,0.06863384693861008,119606400,0.0,0.0,2,8,10,4,1986
146,1986-10-09 00:00:00-04:00,0.06863383167787607,0.07238762496918012,0.06863383167787607,0.0707785040140152,92563200,0.0,0.0,3,9,10,4,1986
147,1986-10-10 00:00:00-04:00,0.07077853006263415,0.0756046612981686,0.06970619349991261,0.0739961564540863,76752000,0.0,0.0,4,10,10,4,1986
148,1986-10-13 00:00:00-04:00,0.07399612922128447,0.07399612922128447,0.0707785040140152,0.0707785040140152,27129600,0.0,0.0,0,13,10,4,1986
149,1986-10-14 00:00:00-04:00,0.07131470519702683,0.07238765856614206,0.07131470519702683,0.07185087352991104,12873600,0.0,0.0,1,14,10,4,1986
150,1986-10-15 00:00:00-04:00,0.07185084824746477,0.07560464196013854,0.07185084824746477,0.07506847381591797,63532800,0.0,0.0,2,15,10,4,1986
151,1986-10-16 00:00:00-04:00,0.07506847381591797,0.07560464196013854,0.07453230567169741,0.07506847381591797,21859200,0.0,0.0,3,16,10,4,1986
152,1986-10-17 00:00:00-04:00,0.07506846598864314,0.07774930182795714,0.07506846598864314,0.07721313834190369,124444800,0.0,0.0,4,17,10,4,1986
153,1986-10-20 00:00:00-04:00,0.07721317796510845,0.0788216784532205,0.07560467287473235,0.0777493417263031,43545600,0.0,0.0,0,20,10,4,1986
154,1986-10-21 00:00:00-04:00,0.07828547292810839,0.08096630871295929,0.07828547292810839,0.08096630871295929,112377600,0.0,0.0,1,21,10,4,1986
155,1986-10-22 00:00:00-04:00,0.08096630871295929,0.08177056313022384,0.08043014523779839,0.08096630871295929,54576000,0.0,0.0,2,22,10,4,1986
156,1986-10-23 00:00:00-04:00,0.08096630871295929,0.08150248139264338,0.08016206350021793,0.08096630871295929,70444800,0.0,0.0,3,23,10,4,1986
157,1986-10-24 00:00:00-04:00,0.08096631353916375,0.08096631353916375,0.07828547759451478,0.08043015003204346,101376000,0.0,0.0,4,24,10,4,1986
158,1986-10-27 00:00:00-05:00,0.0809663083311462,0.08311160653829575,0.0809663083311462,0.08311160653829575,125654400,0.0,0.0,0,27,10,4,1986
159,1986-10-28 00:00:00-05:00,0.08311161756665723,0.08632862644289754,0.08311161756665723,0.08498819917440414,142646400,0.0,0.0,1,28,10,4,1986
160,1986-10-29 00:00:00-05:00,0.08498821763878073,0.08525630867343897,0.08150250953022135,0.08257546275854111,53222400,0.0,0.0,2,29,10,4,1986
161,1986-10-30 00:00:00-05:00,0.08257545928149727,0.0852563050835115,0.08203929564381002,0.08418396860361099,44380800,0.0,0.0,3,30,10,4,1986
162,1986-10-31 00:00:00-05:00,0.08418394268808392,0.0852562788378721,0.0825754338611401,0.08311160653829575,63734400,0.0,0.0,4,31,10,4,1986
163,1986-11-03 00:00:00-05:00,0.08364778351109053,0.08525629259763638,0.08364778351109053,0.08472011983394623,42192000,0.0,0.0,0,3,11,4,1986
164,1986-11-04 00:00:00-05:00,0.0847201080999243,0.0879371166229248,0.0847201080999243,0.0879371166229248,54403200,0.0,0.0,1,4,11,4,1986
165,1986-11-05 00:00:00-05:00,0.0879371629892129,0.0938356363634383,0.08740099001707864,0.09329946339130402,45100800,0.0,0.0,2,5,11,4,1986
166,1986-11-06 00:00:00-05:00,0.09329942550634762,0.09758877072358708,0.09276326195645491,0.09544409811496735,72576000,0.0,0.0,3,6,11,4,1986
167,1986-11-07 00:00:00-05:00,0.09544409551877936,0.09598026825861201,0.09329942296849716,0.09490793198347092,44323200,0.0,0.0,4,7,11,4,1986
168,1986-11-10 00:00:00-05:00,0.09490799617559476,0.09490799617559476,0.0906180222658104,0.09115419536828995,28684800,0.0,0.0,0,10,11,4,1986
169,1986-11-11 00:00:00-05:00,0.09169095009565353,0.09276328668583314,0.09169095009565353,0.09169095009565353,11894400,0.0,0.0,1,11,11,4,1986
170,1986-11-12 00:00:00-05:00,0.09169095009565353,0.09383562327601276,0.09061798759764367,0.09169095009565353,34156800,0.0,0.0,2,12,11,4,1986
171,1986-11-13 00:00:00-05:00,0.09169100245716298,0.09222716645617375,0.09008187534741083,0.0903499573469162,30211200,0.0,0.0,3,13,11,4,1986
172,1986-11-14 00:00:00-05:00,0.09034994031683584,0.09115419536828995,0.08847334826495307,0.09115419536828995,18720000,0.0,0.0,4,14,11,4,1986
173,1986-11-17 00:00:00-05:00,0.09115416049499693,0.09276328668583314,0.09008182390481732,0.09169095009565353,24307200,0.0,0.0,0,17,11,4,1986
174,1986-11-18 00:00:00-05:00,0.09169091866706935,0.09222708217611676,0.08686478435993195,0.08686478435993195,59673600,0.0,0.0,1,18,11,4,1986
175,1986-11-19 00:00:00-05:00,0.08686479445878875,0.09061796707203382,0.08686479445878875,0.09008180350065231,48729600,0.0,0.0,2,19,11,4,1986
