,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,day_of_week,day_of_month,month_of_year,quarter_of_year,year
147,2000-09-29 00:00:00-04:00,3.24783992767334,3.24783992767334,3.24783992767334,3.24783992767334,0,0.0,0.0,0.0,4,29,9,3,2000
148,2000-10-02 00:00:00-04:00,3.24783992767334,3.24783992767334,3.24783992767334,3.24783992767334,0,0.0,0.0,0.0,0,2,10,4,2000
149,2000-10-03 00:00:00-04:00,3.24783992767334,3.24783992767334,3.24783992767334,3.24783992767334,0,0.0,0.0,0.0,1,3,10,4,2000
150,2000-10-04 00:00:00-04:00,3.24783992767334,3.24783992767334,3.24783992767334,3.24783992767334,0,0.0,0.0,0.0,2,4,10,4,2000
151,2000-10-05 00:00:00-04:00,3.24783992767334,3.24783992767334,3.24783992767334,3.24783992767334,0,0.0,0.0,0.0,3,5,10,4,2000
152,2000-10-06 00:00:00-04:00,3.24783992767334,3.24783992767334,3.24783992767334,3.24783992767334,0,0.0,0.0,0.0,4,6,10,4,2000
153,2000-10-09 00:00:00-04:00,3.24783992767334,3.24783992767334,3.24783992767334,3.24783992767334,0,0.0,0.0,0.0,0,9,10,4,2000
154,2000-10-10 00:00:00-04:00,3.24783992767334,3.24783992767334,3.24783992767334,3.24783992767334,0,0.0,0.0,0.0,1,10,10,4,2000
155,2000-10-11 00:00:00-04:00,3.24783992767334,3.24783992767334,3.24783992767334,3.24783992767334,0,0.0,0.0,0.0,2,11,10,4,2000
156,2000-10-12 00:00:00-04:00,3.24783992767334,3.24783992767334,3.24783992767334,3.24783992767334,0,0.0,0.0,0.0,3,12,10,4,2000
157,2000-10-13 00:00:00-04:00,3.24783992767334,3.24783992767334,3.24783992767334,3.24783992767334,0,0.0,0.0,0.0,4,13,10,4,2000
158,2000-10-16 00:00:00-04:00,2.248500108718872,2.623260021209717,2.248500108718872,2.623260021209717,2041,0.0,0.0,0.0,0,16,10,4,2000
159,2000-10-17 00:00:00-04:00,2.1235899925231934,2.1235899925231934,1.998669981956482,1.998669981956482,2962,0.0,0.0,0.0,1,17,10,4,2000
160,2000-10-18 00:00:00-04:00,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0,0.0,0.0,0.0,2,18,10,4,2000
161,2000-10-19 00:00:00-04:00,1.62391996383667,1.62391996383667,1.249169945716858,1.249169945716858,1333,0.0,0.0,0.0,3,19,10,4,2000
162,2000-10-20 00:00:00-04:00,1.249169945716858,1.249169945716858,1.249169945716858,1.249169945716858,0,0.0,0.0,0.0,4,20,10,4,2000
163,2000-10-23 00:00:00-04:00,1.249169945716858,1.249169945716858,1.249169945716858,1.249169945716858,0,0.0,0.0,0.0,0,23,10,4,2000
164,2000-10-24 00:00:00-04:00,1.249169945716858,1.249169945716858,1.249169945716858,1.249169945716858,0,0.0,0.0,0.0,1,24,10,4,2000
165,2000-10-25 00:00:00-04:00,2.7481698989868164,3.122920036315918,2.7481698989868164,3.122920036315918,1609,0.0,0.0,0.0,2,25,10,4,2000
166,2000-10-26 00:00:00-04:00,3.122920036315918,3.122920036315918,3.122920036315918,3.122920036315918,0,0.0,0.0,0.0,3,26,10,4,2000
167,2000-10-27 00:00:00-04:00,3.122920036315918,3.122920036315918,3.122920036315918,3.122920036315918,0,0.0,0.0,0.0,4,27,10,4,2000
168,2000-10-30 00:00:00-05:00,3.122920036315918,3.122920036315918,3.122920036315918,3.122920036315918,0,0.0,0.0,0.0,0,30,10,4,2000
169,2000-10-31 00:00:00-05:00,1.62391996383667,1.62391996383667,1.62391996383667,1.62391996383667,440,0.0,0.0,0.0,1,31,10,4,2000
170,2000-11-01 00:00:00-05:00,1.62391996383667,1.62391996383667,1.62391996383667,1.62391996383667,0,0.0,0.0,0.0,2,1,11,4,2000
171,2000-11-02 00:00:00-05:00,1.62391996383667,1.62391996383667,1.62391996383667,1.62391996383667,0,0.0,0.0,0.0,3,2,11,4,2000
172,2000-11-03 00:00:00-05:00,2.498339891433716,2.498339891433716,2.498339891433716,2.498339891433716,80,0.0,0.0,0.0,4,3,11,4,2000
173,2000-11-06 00:00:00-05:00,1.62391996383667,1.62391996383667,1.62391996383667,1.62391996383667,64,0.0,0.0,0.0,0,6,11,4,2000
174,2000-11-07 00:00:00-05:00,1.62391996383667,1.62391996383667,1.62391996383667,1.62391996383667,0,0.0,0.0,0.0,1,7,11,4,2000
175,2000-11-08 00:00:00-05:00,1.62391996383667,1.62391996383667,1.62391996383667,1.62391996383667,0,0.0,0.0,0.0,2,8,11,4,2000
